flux_original	flux_modified	delta_flux	abs_delta_flux
-0.7552233308858516	-0.4600334858018866	0.295189845083965	0.295189845083965
0.0	0.28841505430262915	0.28841505430262915	0.28841505430262915
0.1702147885819282	-0.10920062098405194	-0.27941540956598016	0.27941540956598016
0.15953893943483516	-0.11958860169540143	-0.2791275411302366	0.2791275411302366
-0.0896106543131215	-0.36202001285851865	-0.27240935854539716	0.27240935854539716
0.26449681960688903	0.0	-0.26449681960688903	0.26449681960688903
0.0	0.2532394394334182	0.2532394394334182	0.2532394394334182
0.17428360562835796	0.0	-0.17428360562835796	0.17428360562835796
0.17428360562835793	0.0	-0.17428360562835793	0.17428360562835793
0.7421624189592605	0.5688239196389291	-0.1733384993203314	0.1733384993203314
0.7421624189592604	0.5688239196389291	-0.1733384993203313	0.1733384993203313
0.0	0.16958414348378012	0.16958414348378012	0.16958414348378012
